Michael Russell,David Palmer
Brandon Reid,David Palmer
Robert Paige,Josiah Bartlet
Megan Terry,Claire Underwood
Samantha Burgess,David Palmer
Gabrielle Peake,Josiah Bartlet
Jack Hunter,Claire Underwood
Carol Peake,Claire Underwood
Christian Marshall,Josiah Bartlet
Sean Hardacre,Josiah Bartlet
Jasmine Paterson,Josiah Bartlet
Brandon Edmunds,Claire Underwood
Molly Morgan,Claire Underwood
Megan Knox,Lisa Simpson
Rebecca Blake,Josiah Bartlet
Richard Nixon,Richard Nixon
John Bailey,Lisa Simpson
Ruth McLean,Josiah Bartlet
Kevin Sutherland,Lisa Simpson
Boris Mackay,Claire Underwood
Charles Hamilton,Josiah Bartlet
Justin Ellison,Lisa Simpson
Isaac Ogden,Lisa Simpson
Irene Watson,Josiah Bartlet
Charles Knox,Lisa Simpson
James Hill,Lisa Simpson
Karen Watson,David Palmer
Peter Paterson,Josiah Bartlet
Lauren Lambert,Claire Underwood
Brandon Burgess,Claire Underwood
Chloe Hudson,Claire Underwood
Bernadette Lambert,Claire Underwood
Virginia Henderson,Josiah Bartlet
Neil Walker,Josiah Bartlet
Ian Anderson,Lisa Simpson
Adrian Bond,Lisa Simpson
Richard Cameron,Claire Underwood
Theresa Bailey,Josiah Bartlet
Piers Glover,David Palmer
Virginia Piper,David Palmer
Max Kelly,David Palmer
Angela Wilkins,Claire Underwood
Adam Smith,David Palmer
Cameron Langdon,Josiah Bartlet
Diana Graham,David Palmer
Joshua Russell,David Palmer
Amy Thomson,Josiah Bartlet
Lily Jackson,Josiah Bartlet
Michael Forsyth,Claire Underwood
Amy Underwood,Josiah Bartlet
Emily Morgan,Lisa Simpson
Peter Bower,Lisa Simpson
Heather Welch,Josiah Bartlet
Fiona Rees,Lisa Simpson
Madeleine Lyman,Josiah Bartlet
Samantha Hodges,Josiah Bartlet
Blake Hunter,Lisa Simpson
Wanda Bailey,Claire Underwood
Molly Clark,David Palmer
Anthony Robertson,Claire Underwood
Wanda Blake,Josiah Bartlet
Molly Lee,Josiah Bartlet
Elizabeth Davies,David Palmer
Matt Scott,David Palmer
Andrew Wilkins,Josiah Bartlet
Eric Newman,Josiah Bartlet
Gordon Ogden,Josiah Bartlet
